source_id,file_name,program_name,program_code,sha256,page_count,file_size,text_extract_chars,status
7340301-ke toan,10_ Ke toan.pdf,Kế toán,7340301,e32e309f3aca3735f9070647e5effbb4bcbf43c41eaf674116fee1ff417f1587,14,10966207,0,needs_ocr
7340302-kiem toan,11_ Kiem toan.pdf,Kiểm toán,7340302,f6203660a4946501088a64aff14668e517dd81d021ff4f0e4094a4509a133c49,12,8793367,0,needs_ocr
7520115-ky thuat nhiet,12_ Ky thuat nhiet.pdf,Kỹ thuật nhiệt,7520115,781dab12601ac8a37cecb563601665e64ab599a002ddbeca92cc7f38d917b62d,18,12094115,0,needs_ocr
7510605-logistics va ql chuoi cung ung,13_ Logistics va QL chuoi cung ung.pdf,Logistics và quản lý chuỗi cung ứng,7510605,135efc01c7a667e0243f0d690170caa44fd1e83f509a20b7b26225d356d7a3fd,12,12558007,21496,usable_text
7510601-quan ly cong nghiep,14_ Quan ly cong nghiep.pdf,Quản lý công nghiệp,7510601,ef0469f8c0a0508d5642fff09057d0b48a2dde7bccf6cc75116a04747c91571f,13,10106605,0,needs_ocr
7510602-quan ly nang luong,15_ Quan ly nang luong.pdf,Quản lý năng lượng,7510602,732cffe1ddab33d909504b2b87b1260db7425fa03068e1b395eb256cda1ad614,14,10371397,0,needs_ocr
7340101-quan tri kinh doanh,16_ Quan tri kinh doanh.pdf,Quản trị kinh doanh,7340101,f8f158e2f62398d30c1f1b604d657cbda010e2213e74de3e576264ffc22ea090,15,9358428,0,needs_ocr
7340201-tai chinh ngan hang,17_ Tai chinh Ngan hang.pdf,Tài chính - Ngân hàng,7340201,6dac675c98411a7831586f08eaf91a44b00fd66682f717e47f5c054b7453606d,14,11129405,0,needs_ocr
7340122-thuong mai dien tu,18_ Thuong mai dien tu.pdf,Thương mại điện tử,7340122,baa8dd5beccaff57671d7847d5d3f6e991dfa30689f4fdbec084a43240899451,13,8863299,0,needs_ocr
7810103-quan tri dich vu lu hanh,19_ Quan tri dich vu_lu hanh.pdf,Quản trị dịch vụ du lịch và lữ hành,7810103,d487d00bc0a013931f8654618ed22dbcd7e56070b87f1a460ac8c66d9fe6516a,10,7760319,0,needs_ocr
7510102-cnkt cong trinh xay dung,1_ CNKT Cong trinh Xay dung.pdf,Công nghệ kỹ thuật công trình xây dựng,7510102,7173a2a8cc14aab235cacec3acc2173f1992b06538d0c7ec9af40b244ef8c2be,25,17514549,0,needs_ocr
7510407-cong nghe ky thuat hat nhan,20_ Cong nghe ky thuat hat nhan.pdf,Công nghệ kỹ thuật hạt nhân,7510407,12e5f8dc74a1077f9bec839078bae703977894ebf424c3eb167536ed77c76364,21,8477783,0,needs_ocr
7520107-ky thuat robot,21_ Ky thuat Robot.pdf,Kỹ thuật Robot,7520107,d8239577e612497fa4756d1ce2b5e9f1bc98ef581001a81674e1fee83e7f703e,24,9928423,0,needs_ocr
7460108-khoa hoc du lieu,22_ Khoa hoc du lieu.pdf,Khoa học dữ liệu,7460108,51c9ae242d6aa209c232fb3b385df0956bcc577d4fae43cd1ccf2b7ba2d6eb45,18,7008786,0,selected_for_mvp
7480106-ky thuat may tinh,23_ Ky thuat may tinh.pdf,Kỹ thuật máy tính,7480106,1b3dece123ad9886a77309d0e9a3a49039b9cadaab81c8696d0e54295e8df852,27,9701696,0,needs_ocr
7510301-cn ky thuat oto,24_ CN ky thuat oto.pdf,"Công nghệ kỹ thuật điện, điện tử",7510301,b8bb0b4a89a7b96cec162e9704ab17cc076be1555d1640f5096b6552d29a9a90,15,6072329,0,needs_ocr
